日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-02-13,65.29,-1.88,-754767328.0,-13.7,-168162704.0,-3.05,-586604624.0,-10.65,140094352.0,2.54,614672992.0,11.16
2026-02-24,64.5,-1.21,-233475504.0,-4.48,-168157600.0,-3.23,-65317904.0,-1.25,-128381344.0,-2.46,361856832.0,6.95
2026-02-25,65.05,0.85,-111396432.0,-2.5,-122985552.0,-2.76,11589120.0,0.26,66940816.0,1.5,44455616.0,1.0
2026-02-26,63.5,-2.38,-745649840.0,-11.27,-604302144.0,-9.14,-141347696.0,-2.14,4224864.0,0.06,741424976.0,11.21
2026-02-27,63.09,-0.65,-267733232.0,-6.68,-162652752.0,-4.06,-105080480.0,-2.62,22882560.0,0.57,244850672.0,6.11
2026-03-02,62.35,-1.17,-662821072.0,-10.53,-348478896.0,-5.54,-314342176.0,-4.99,121860432.0,1.94,540960656.0,8.59
2026-03-03,62.57,0.35,-165580048.0,-2.4,21790512.0,0.32,-187370560.0,-2.72,-81434768.0,-1.18,247014832.0,3.59
2026-03-04,61.79,-1.25,-226195632.0,-3.65,-140754832.0,-2.27,-85440800.0,-1.38,-29415632.0,-0.47,255611280.0,4.13
2026-03-05,62.08,0.47,20474064.0,0.6,-64656672.0,-1.9,85130736.0,2.5,-101807344.0,-2.99,81333296.0,2.39
2026-03-06,62.67,0.95,72702048.0,2.03,-4198320.0,-0.12,76900368.0,2.14,-9990640.0,-0.28,-62711392.0,-1.75
2026-03-09,61.4,-2.03,52836032.0,0.93,134817744.0,2.38,-81981712.0,-1.45,-100487504.0,-1.77,47651472.0,0.84
